Template model,Taget model,Target chemical,Target ID,Air condition,Carbon source,Target reaction,Previous cofactor,New cofactor,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,L-arabinose,GAPD,NADH,NADPH,0.441135279047451,0.427801425423055,3.11683244421401
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,L-arabinose,MDH,NADH,NADPH,0.4411352790104,0.427801425423055,3.11683243555327
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,L-arabinose,MMSAD1,NADH,NADPH,0.435620292981715,0.427801425423055,1.82768618662929
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,L-arabinose,GLUDxi,NADH,NADPH,0.441135278921572,0.427801425423055,3.11683241478935
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,L-arabinose,KARA1,NADPH,NADH,0.435680491420895,0.427801425423055,1.8417577711548
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-glucose,ALAD_L,NADH,NADPH,0.662878244927071,0.646361144667582,2.55539807671809
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-glucose,LLEUDr,NADH,NADPH,0.662878245067817,0.646361144667582,2.55539809849318
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-glucose,KARA1,NADPH,NADH,0.657993039928842,0.646361144667582,1.79959692150764
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-glucose,GLUDxi,NADH,NADPH,0.662878244884573,0.646361144667582,2.5553980701432
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-glucose,GAPD,NADH,NADPH,0.662878245067816,0.646361144667582,2.55539809849305
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-glucose,IPMD,NADH,NADPH,0.657953432881665,0.646361144667582,1.79346922532677
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-glucose,PDH,NADH,NADPH,0.655244589185091,0.646361144667582,1.37437786766676
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-glucose,VALDHr,NADH,NADPH,0.662878245067813,0.646361144667582,2.55539809849265
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-glucose,MDH,NADH,NADPH,0.662878246114043,0.646361144667582,2.5553982603572
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,fructose,ALAD_L,NADH,NADPH,0.660661752090108,0.645488644952053,2.35063889298658
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,fructose,LLEUDr,NADH,NADPH,0.660661752443601,0.645488644952053,2.35063894775022
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,fructose,KARA1,NADPH,NADH,0.655980500736167,0.645488644952053,1.62541291255307
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,fructose,GLUDxi,NADH,NADPH,0.660661751525738,0.645488644952053,2.35063880555368
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,fructose,GAPD,NADH,NADPH,0.660661752307583,0.645488644952053,2.35063892667815
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,fructose,IPMD,NADH,NADPH,0.655944861257653,0.645488644952053,1.61989159489823
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,fructose,PDH,NADH,NADPH,0.654112705157195,0.645488644952053,1.33605141974002
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,fructose,VALDHr,NADH,NADPH,0.660661752198458,0.645488644952053,2.35063890977229
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,fructose,MDH,NADH,NADPH,0.660661752198454,0.645488644952053,2.35063890977169
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-galactose,ALAD_L,NADH,NADPH,0.658284377734608,0.642646534644605,2.43335056628772
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-galactose,LLEUDr,NADH,NADPH,0.658284377102347,0.642646534644605,2.43335046790371
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-galactose,KARA1,NADPH,NADH,0.654210898687868,0.642646534644605,1.79949060950874
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-galactose,GLUDxi,NADH,NADPH,0.658284376761052,0.642646534644605,2.43335041479604
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-galactose,GAPD,NADH,NADPH,0.658284377618713,0.642646534644605,2.43335054825371
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-galactose,IPMD,NADH,NADPH,0.654171821416381,0.642646534644605,1.79340993072496
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-galactose,PDH,NADH,NADPH,0.652038912399284,0.642646534644605,1.46151535071659
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-galactose,VALDHr,NADH,NADPH,0.658284376202963,0.642646534644605,2.43335032795377
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,D-galactose,MDH,NADH,NADPH,0.658284378023095,0.642646534644605,2.43335061117815
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,glycerol,VALDHr,NADH,NADPH,0.359439771385561,0.34600762957981,3.88203630713654
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,glycerol,ALAD_L,NADH,NADPH,0.359439772601189,0.34600762957981,3.88203665846651
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,glycerol,G3PD1ir,NADH,NADPH,0.359439771866041,0.34600762957981,3.88203644600066
iYO844,iYO844_3mb,isovalerate,3mb,aerobic,glycerol,LLEUDr,NADH,NADPH,0.359439772148394,0.34600762957981,3.88203652760381
